,contract_address,contract_url,contract_name,nifty_name,store_url,nifty_date_created,num_pm_sales,num_sm_sales,avg_resale_price,highest_active_bid,lowest_active_ask,sm_market_volume,price
1141,0x3bf05ea9e20e98ed269e67025cfdf716c37006c7,https://niftygateway.com/itemdetail/primary/0x3bf05ea9e20e98ed269e67025cfdf716c37006c7/1,KOSALL,KOSALL,https://niftygateway.com/collections/adampriesterauctions,2021-02-26T22:02:20.313674Z,5,1,912100,25000,0,2940393,
1142,0x1ea4a2b4f99ad9c7e1c48dd72af747d3880d5a79,https://niftygateway.com/itemdetail/primary/0x1ea4a2b4f99ad9c7e1c48dd72af747d3880d5a79/1,Blocks,Blocks,https://niftygateway.com/collections/eduardov,2021-02-08T03:19:03.666802Z,1,1,525000,0,0,404900,
1143,0xeb30e885ad86882e6d7d357977fd6398526b08f6,https://niftygateway.com/itemdetail/primary/0xeb30e885ad86882e6d7d357977fd6398526b08f6/1,Satanizer,Satanizer,https://niftygateway.com/collections/arben,2020-11-25T21:36:24.759218Z,1,1,500000,0,0,145000,2911111.0
1144,0x948b3515d81034a3c16d5393c6c155946c93c103,https://niftygateway.com/itemdetail/primary/0x948b3515d81034a3c16d5393c6c155946c93c103/1,Rokoko Monolith,Rokoko Monolith,https://niftygateway.com/collections/warnymphvolume1,2021-02-25T05:59:31.298789Z,10,1,5500000,150000,0,28802478,
1145,0x93eaa057873ffa2a7494391008f17f456556945d,https://niftygateway.com/itemdetail/primary/0x93eaa057873ffa2a7494391008f17f456556945d/1,Surge of Emotion,Surge of Emotion,https://niftygateway.com/collections/jakubspacek2,2020-10-09T22:17:34.979460Z,3,1,250000,0,0,300000,
1146,0x6b1a68af1cbeca7d4abf27f1c606459548ae239f,https://niftygateway.com/itemdetail/primary/0x6b1a68af1cbeca7d4abf27f1c606459548ae239f/1,Air Jordan 1 - BRED,Air Jordan 1 - BRED,https://niftygateway.com/collections/yoo,2020-05-07T19:28:23.358143Z,5,1,100100,126000,0,250000,499900.0
1147,0x948b3515d81034a3c16d5393c6c155946c93c103,https://niftygateway.com/itemdetail/primary/0x948b3515d81034a3c16d5393c6c155946c93c103/1,Gods in Hi-res,Gods in Hi-res,https://niftygateway.com/collections/warnymphvolume1,2021-02-25T05:59:31.297577Z,10,1,3975000,999900,0,22357034,
1148,0x236e0fe588485d792f93820cf93c81f5b60622c0,https://niftygateway.com/itemdetail/primary/0x236e0fe588485d792f93820cf93c81f5b60622c0/1,It runs in the family,It runs in the family,https://niftygateway.com/collections/alotta3,2021-01-11T19:24:20.572912Z,5,1,1200000,0,0,2011355,
1149,0xc29491826c757e13bad2d3900c14e750d352a92b,https://niftygateway.com/itemdetail/primary/0xc29491826c757e13bad2d3900c14e750d352a92b/1,All Natural,All Natural,https://niftygateway.com/collections/davidmcleod,2021-01-11T18:51:49.482023Z,3,1,389900,0,0,630201,99999999.0
1150,0x648e89955fbe0d9e3f46c598458c87a4c355c23c,https://niftygateway.com/itemdetail/primary/0x648e89955fbe0d9e3f46c598458c87a4c355c23c/1,Wired In,Wired In,https://niftygateway.com/collections/alexmanrique2,2020-10-09T22:48:58.436393Z,1,1,700000,0,0,45000,
1151,0xdb908f9718acd81a18ea978ead8b0c9477e23f24,https://niftygateway.com/itemdetail/primary/0xdb908f9718acd81a18ea978ead8b0c9477e23f24/1,In1tial Sp4rk (unique Triforce Short I.),In1tial Sp4rk (unique Triforce Short I.),https://niftygateway.com/collections/resistanceiipacks,2021-01-31T23:16:43.364417Z,1,1,80000,0,0,25000,
1152,0x005efb3633638dd0dd336ce671920bccb1ea82bd,https://niftygateway.com/itemdetail/primary/0x005efb3633638dd0dd336ce671920bccb1ea82bd/1,Like Machine Part 2,Like Machine Part 2,https://niftygateway.com/collections/slimesunday2,2021-01-05T18:22:23.117554Z,1,1,1496000,500000,0,400000,
1153,0xf924fed62a15c879213e677dada6cf7db5174620,https://niftygateway.com/itemdetail/primary/0xf924fed62a15c879213e677dada6cf7db5174620/1,Air Dior,Air Dior,https://niftygateway.com/collections/tomyoo3,2020-09-23T23:32:57.434656Z,1,1,999900,0,0,1000000,
1154,0x9f8371fe1fda39d76684be54fd4605f4932d6755,https://niftygateway.com/itemdetail/primary/0x9f8371fe1fda39d76684be54fd4605f4932d6755/1,Pinky,Pinky,https://niftygateway.com/collections/theshipping,2021-02-18T05:24:58.651539Z,3,1,2250000,0,0,1500000,
1155,0xa70d6b6222fcc73dc26512634afe8bde378f3b7e,https://niftygateway.com/itemdetail/primary/0xa70d6b6222fcc73dc26512634afe8bde378f3b7e/1,Eurina Demisa,Eurina Demisa,https://niftygateway.com/collections/fourwinds,2021-02-17T20:31:17.413140Z,10,1,647100,100,0,4224500,
1156,0x005efb3633638dd0dd336ce671920bccb1ea82bd,https://niftygateway.com/itemdetail/primary/0x005efb3633638dd0dd336ce671920bccb1ea82bd/1,A Note From the Instagram Team,A Note From the Instagram Team,https://niftygateway.com/collections/slimesunday2,2021-01-05T18:22:23.132478Z,1,1,1100000,0,0,400000,
1157,0x99b546a19cc1ec8ec9a6ce781a237ddb642dda77,https://niftygateway.com/itemdetail/primary/0x99b546a19cc1ec8ec9a6ce781a237ddb642dda77/1,The Wall,The Wall,https://niftygateway.com/collections/pak,2020-08-27T01:27:06.400557Z,5,1,1177700,1221000,0,809000,
1158,0xdb908f9718acd81a18ea978ead8b0c9477e23f24,https://niftygateway.com/itemdetail/primary/0xdb908f9718acd81a18ea978ead8b0c9477e23f24/1,Satoshi II (unique Variant I.),Satoshi II (unique Variant I.),https://niftygateway.com/collections/resistanceiipacks,2021-01-31T23:16:43.360458Z,1,1,75000,0,0,25000,
1159,0x80f82055b8f5f110971aeba336a2dfd6c4fb6a93,https://niftygateway.com/itemdetail/primary/0x80f82055b8f5f110971aeba336a2dfd6c4fb6a93/1,The Abyss,The Abyss,https://niftygateway.com/collections/jamsutton,2021-01-06T17:17:25.022828Z,6,1,60069,25000,0,360000,1000000.0
1160,0xf2a22a760026b1978118d7e256b4420cc531e87b,https://niftygateway.com/itemdetail/primary/0xf2a22a760026b1978118d7e256b4420cc531e87b/1,Digital Shaman,Digital Shaman,https://niftygateway.com/collections/lansking2,2020-09-29T22:34:17.554180Z,0,1,82500,55000,0,0,
1161,0x116fac0e751316e5c3726af3457773666434c815,https://niftygateway.com/itemdetail/primary/0x116fac0e751316e5c3726af3457773666434c815/1,Slime,Slime,https://niftygateway.com/collections/vincentubags,2020-08-13T14:10:42.054911Z,5,1,73333,0,0,250000,100000000.0
1162,0x005efb3633638dd0dd336ce671920bccb1ea82bd,https://niftygateway.com/itemdetail/primary/0x005efb3633638dd0dd336ce671920bccb1ea82bd/1,Ode To Godward,Ode To Godward,https://niftygateway.com/collections/slimesunday2,2021-01-05T18:22:23.137201Z,1,1,829900,850000,0,400000,
1163,0x35d2c040cd252a00dc2cdfb9fd3034bd99da2d45,https://niftygateway.com/itemdetail/primary/0x35d2c040cd252a00dc2cdfb9fd3034bd99da2d45/1,Spam Risk,Spam Risk,https://niftygateway.com/collections/perrycooper2,2020-08-19T21:04:10.635550Z,1,1,299900,100000,0,71000,
1164,0xb3ebb6a057e81708cc884a5dcff0c4a9f91075de,https://niftygateway.com/itemdetail/primary/0xb3ebb6a057e81708cc884a5dcff0c4a9f91075de/1,Satoshi's Revolution,Satoshi's Revolution,https://niftygateway.com/collections/pr1malresistance1,2020-12-30T18:09:42.126546Z,5,1,125000,30000,0,125000,4999900.0
1165,0x66b25eda64d507fba4ad0eee4c9498552ff698fd,https://niftygateway.com/itemdetail/primary/0x66b25eda64d507fba4ad0eee4c9498552ff698fd/1,Eye of the Vault,Eye of the Vault,https://niftygateway.com/collections/themoment,2020-12-16T23:26:16.020783Z,1,1,1618034,100,0,707070,
1166,0xf3b92198c7c5d0a7f64506e98a70a902c92a253f,https://niftygateway.com/itemdetail/primary/0xf3b92198c7c5d0a7f64506e98a70a902c92a253f/1,Matador,Matador,https://niftygateway.com/collections/stevenbaltay4,2020-12-31T08:40:17.957141Z,3,1,353000,333300,0,450000,
1167,0xb44b7a31a3fdd087347f72823d97f3e2ac0b559c,https://niftygateway.com/itemdetail/primary/0xb44b7a31a3fdd087347f72823d97f3e2ac0b559c/1,Propagate,Propagate,https://niftygateway.com/collections/rendertimes,2020-08-13T14:14:40.825273Z,1,1,112450,0,0,55000,
